#OTU ID	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A1	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A2	A30	A3	A4	A5	A6	A7	A8	A9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B1	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B2	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B3	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B4	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B5	B60	B61	B62	B63	B64	B6	B7	B8	B9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C1	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C2	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C3	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C4	C50	C51	C52	C53	C54	C55	C56	C57	C58	C59	C5	C60	C61	C62	C63	C64	C65	C66	C67	C68	C69	C6	C70	C71	C72	C7	C8	C9	D10	D11	D12	D13	D14	D15	D16	D17	D18	D19	D1	D20	D21	D22	D23	D24	D25	D26	D27	D28	D29	D2	D30	D31	D32	D33	D34	D35	D36	D37	D38	D39	D3	D40	D41	D42	D43	D44	D45	D46	D47	D48	D49	D4	D50	D51	D52	D53	D54	D55	D56	D57	D58	D59	D5	D60	D61	D62	D63	D64	D65	D66	D67	D68	D6	D7	D8	D9	E10	E11	E12	E13	E14	E15	E16	E17	E18	E19	E1	E20	E21	E22	E23	E24	E25	E26	E27	E28	E29	E2	E30	E31	E32	E33	E34	E35	E36	E37	E38	E39	E3	E40	E41	E42	E43	E44	E45	E46	E47	E48	E49	E4	E50	E51	E52	E53	E54	E55	E56	E57	E58	E59	E5	E60	E61	E62	E63	E64	E65	E66	E67	E68	E6	E7	E8	E9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F1	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F2	F30	F31	F32	F33	F34	F35	F36	F3	F4	F5	F6	F7	F8	F9	G10	G11	G12	G13	G14	G15	G16	G17	G1	G21	G22	G23	G24	G25	G26	G27	G28	G29	G2	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G3	G4	G5	G6	G7	G8	G9	I10	I11	I12	I13	I14	I15	I16	I17	I18	I19	I1	I20	I21	I22	I23	I24	I25	I26	I27	I28	I29	I2	I30	I31	I32	I33	I34	I35	I36	I3	I4	I5	I6	I7	I8	I9
Otu17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	14	0	0	0	1822	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu19	0	0	48	0	0	0	0	0	0	0	0	0	0	0	1250	859	0	0	0	0	0	0	0	0	154	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1572	456	1479	0	0	841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	1486	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu24	0	2403	0	0	0	0	0	0	0	0	0	0	0	484	0	0	0	0	49	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	603	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	0	38	0	0	0	501	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu20	0	84	0	0	0	0	0	0	0	0	0	0	0	1712	306	0	0	0	0	0	1334	0	0	0	2698	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	40	0	1121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	227	0	52	0	0	2827	930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2864	0	95	0	0	0	0	0
Otu991	0	0	1	15	0	13	13	2	0	463	3	20	182	0	1	35	48	43	33	53	2	17	2	19	3	1	0	1	5	21	0	0	0	2	3	11	0	0	0	0	2	0	0	0	0	0	3	6	3	4	0	2	114	1	1	4	0	0	0	3	23	36	0	9	2	118	13	6	9	11	8	33	8	0	0	0	0	0	67	71	1	34	46	565	0	16	36	201	0	86	0	9	1	0	7	0	1	5	2	2	0	0	0	16	0	6	1	1	0	0	1	1	2	1	0	2	0	1	14	0	0	0	0	2	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	3	0	6	0	1	0	0	0	8	6	1	0	0	1	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	10	6	3	0	0	0	1	1	4	0	1	10	0	8	10	8	0	1	0	0	1	1	3	2	1	1	20	37	4	0	9	5	13	3	2	0	8	3	4	1	0	2	7	2	0	0	11	2	8	0	0	0	0	4	5	10	13	29	8	0	0	0	0	0	1	0	0	1	3	4	3	0	2	0	0	8	3	0	0	0	0	2	3	5	0	0	2	0	2	4	9	0	0	0	10	10	0	0	4	1	5	2	1	0	1	3	2	11	0	1	4	0	4	1	3	0	4	0	7	0	0	3	4	2	7	11	4	0	3	0	1	7	1	0	0	0	4	3	3	0	0	0	0	5	0	1	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	5	0	0	0	0	0	0	40	0	0	0	2	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	1	0	4	4	3	1	6	23	1	2	0	4	0	0	1	0	1	0	1	7	0	1	0	0	0	13	1	0	1	0	0	0	1	0	0	1	0	3	2	12
Otu262	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	2202	0	0	0	0	0	0	0	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	26	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	1111	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu26	0	0	0	5	1	1	17	1	0	16	14	58	32	0	4	5	19	13	12	1	0	48	2	7	1	0	0	3	3	7	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	5	5	0	0	0	0	0	1	4	3	0	0	0	19	45	2	0	5	1	7	32	14	15	21	86	9	10	0	0	0	0	0	3	13	0	17	11	0	0	52	20	10	0	17	0	2	1	1	17	2	8	7	12	0	2	0	0	12	12	20	13	17	3	3	12	26	10	18	10	13	12	15	5	8	1	0	0	16	13	11	9	5	6	9	1	0	0	5	4	0	1	9	0	0	3	0	6	1	0	0	5	6	32	0	1	0	0	6	0	1	1	0	0	22	3	0	0	0	0	0	0	2	0	14	17	19	0	0	0	3	3	4	6	2	17	0	18	26	28	1	1	2	1	3	4	22	4	0	4	32	42	9	3	61	31	26	25	3	2	33	7	8	31	1	32	42	5	0	0	12	7	19	0	2	2	0	26	39	45	45	31	6	28	36	0	0	2	1	0	1	0	7	13	8	1	1	1	2	7	4	4	0	1	0	54	21	23	0	0	5	0	3	7	30	2	1	0	27	19	0	1	25	13	10	3	3	11	6	14	15	15	0	12	14	0	35	8	6	7	12	0	19	1	0	12	7	6	47	5	16	13	20	0	0	2	2	0	0	0	1	4	4	0	0	0	0	9	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	9	4	3	7	3	0	0	0	0	0	0	0	9	9	21	0	15	11	0	4	24	14	0	0	5	0	8	4	8	5	11	7
Otu11	0	0	2	74	1	44	198	8	0	332	136	337	394	0	23	110	231	295	286	86	1	256	20	110	4	1	1	36	116	86	0	1	0	8	21	11	11	0	0	16	3	6	42	1	9	0	69	89	10	1709	7	5	1227	16	32	30	0	0	0	168	298	42	3	32	8	127	257	154	127	221	448	131	129	0	0	1	0	31	204	145	1	144	191	127	1	283	197	293	121	202	0	15	7	8	367	77	215	257	272	17	40	0	1	194	323	279	271	263	328	110	176	237	195	303	238	423	248	275	305	195	14	23	0	229	222	337	231	89	332	183	25	13	2	238	198	99	18	226	4	3	185	207	204	14	9	3	123	132	374	195	11	5	0	29	18	6	2	0	5	373	35	7	10	4	2	4	2	17	2	82	148	93	0	2	0	13	25	52	44	25	189	0	172	145	140	8	7	19	5	114	22	267	24	5	31	364	436	61	18	384	213	289	223	17	13	158	41	55	334	11	287	410	36	0	0	126	194	164	0	18	10	2	294	406	415	600	399	163	359	385	4	3	8	17	1	12	4	124	130	122	6	16	7	41	80	93	39	2	16	7	166	148	128	3	1	44	0	24	80	166	9	4	1	260	247	12	23	68	143	126	39	46	123	34	98	138	157	0	186	142	1	262	46	74	90	41	2	71	10	2	116	64	48	129	169	146	105	101	1	5	26	37	4	99	0	18	45	32	0	0	1	5	91	1	10	1	1	22	10	10	14	0	1	31	6	2	3	0	1	0	1	48	0	0	0	5	15	15	2	7	12	1	1	1	1	0	630	1	0	1	4	5	0	754	1	0	122	0	1	54	30	85	1	2	0	23	13	3	1	2030	7	0	571	268	34	3	45	191	300	203	155	89	116	4	42	3	3	5	7	18	237	215	326	8	148	343	39	191	391	278	8	14	85	2	232	146	255	17	287	198
Otu14	0	0	64	4	0	3	1	0	0	5	34	0	1	0	0	0	0	1	1	0	0	13	0	259	1	0	0	7	2	3	0	0	0	0	0	0	10	2	0	0	1	0	0	0	0	0	0	10	4	33	166	0	0	2	0	0	0	195	0	1	8	0	2	18	0	5	9	0	1	0	1	1	370	1	0	1	1	0	2	5	0	2	4	0	1802	53	0	30	0	0	18	1	1	0	38	1	71	14	32	768	2	0	0	83	0	13	58	3	1	1	56	3	8	5	8	2	13	4	2	2	1	1	0	18	9	4	1	4	2	3	0	0	0	0	7	0	1	1	1	0	3	0	0	0	0	0	3	8	14	6	2	11	1	34	22	0	0	0	0	0	0	0	2	0	5	0	1	0	0	42	1	8	0	0	0	155	0	108	9	38	3	0	5	49	16	0	1	1	0	216	34	4	2	12	9	8	26	940	0	111	575	139	12	593	0	264	104	12	30	0	9	16	5	0	0	6	0	1	0	4	1	0	110	61	0	14	18	29	9	0	0	14	63	106	0	1	0	5	1	3	0	0	0	28	1	1	3	0	0	1	0	4	37	0	1	72	0	1044	13	0	0	0	0	12	1	0	1	5	19	61	18	4	11	15	8	0	1	0	2	382	0	26	1	1	1	5	0	0	1	1	4	0	0	1	4	4	0	0	0	0	2	1	2	0	0	12	24	3	1	1	1	0	25	0	0	4	0	0	6	2	13	9	0	3	1	0	0	0	0	0	0	116	3838	0	1	1	0	45	0	0	6	0	0	0	2	0	0	0	0	0	31	0	0	579	2651	0	0	5	0	16	0	0	0	0	20	0	0	16	0	0	8	19	0	0	14	17	32	49	1	2	1	35	3	1	15	1	8	0	2	28	7	3	3	0	0	27	1000	0	1	3	782	223	41	7	6	0	8	9	27	9
Otu55	0	0	11	0	0	0	0	0	0	0	24	0	0	0	0	0	0	2	0	0	0	3	0	72	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	5	37	0	0	1	0	0	0	40	0	1	0	0	1	4	0	0	0	0	1	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	383	23	1	3	0	1	4	0	0	0	20	0	57	36	3	468	2	0	0	33	0	5	28	2	0	0	42	5	4	3	1	5	2	3	0	4	0	1	0	17	1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	3	0	2	0	0	0	0	21	6	109	0	3	2	1	9	0	0	0	0	4	0	0	0	0	2	0	0	0	0	17	0	2	0	0	0	29	0	11	22	11	0	0	1	13	4	0	1	1	0	72	16	1	1	1	4	2	9	261	0	36	201	37	2	220	0	89	41	5	10	0	7	13	2	0	0	0	0	0	0	2	2	0	94	18	0	0	0	6	2	0	0	9	12	194	0	0	0	3	0	2	0	0	0	4	0	0	3	0	0	1	0	1	14	0	0	12	0	440	6	0	0	0	0	4	0	0	0	3	9	19	2	1	1	3	1	0	0	0	0	108	0	9	0	0	0	1	0	1	0	1	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	3	2	2	6	0	0	0	17	0	0	4	0	0	9	2	11	3	0	3	0	0	0	0	0	0	0	59	775	0	0	0	0	7	0	1	0	0	0	0	1	0	0	0	0	0	4	0	0	107	218	0	0	0	0	5	0	0	0	0	5	0	0	6	0	0	1	0	0	0	12	10	19	93	0	0	0	15	0	0	1	0	9	0	0	59	1	2	0	0	0	13	499	1	1	2	401	114	7	3	0	0	6	0	12	6
Otu15	0	0	0	11	0	0	14	0	0	19	22	51	50	0	3	8	29	55	20	21	0	42	2	8	0	0	0	3	4	9	0	0	0	3	6	0	0	0	0	6	1	1	14	0	0	0	9	21	0	0	0	0	0	2	4	4	0	0	0	23	38	1	0	7	1	14	27	38	7	41	64	15	8	0	0	0	0	2	16	16	0	11	25	0	0	31	37	15	0	16	0	1	1	1	58	10	29	35	9	2	5	0	0	22	39	24	34	25	28	20	14	39	20	34	45	55	35	37	26	24	2	4	0	44	24	40	20	9	40	24	5	1	0	21	17	9	1	33	0	0	10	37	36	1	1	0	20	16	60	85	2	0	1	6	1	0	0	0	0	40	3	0	0	0	0	0	0	3	0	20	40	8	0	0	0	3	2	11	8	3	22	0	14	11	19	2	1	2	0	19	2	51	5	1	4	70	68	4	1	82	19	50	20	3	0	29	7	4	29	1	31	52	7	0	0	14	47	31	0	2	2	0	50	54	61	59	56	17	49	61	1	0	1	2	0	2	0	18	12	10	1	2	1	1	9	13	12	0	2	0	19	20	21	1	0	7	0	3	10	31	1	1	0	38	30	0	2	11	12	11	6	5	23	7	14	11	21	0	21	14	0	37	8	6	18	3	0	9	1	0	10	13	4	22	9	18	23	11	0	0	3	1	0	0	0	2	9	3	0	0	0	0	7	0	0	0	0	0	1	2	3	0	0	4	0	0	0	0	0	0	0	3	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	7	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	6	13	42	36	13	9	13	0	4	0	0	1	1	1	45	31	29	0	16	76	7	14	48	19	1	5	11	1	19	7	35	0	27	16
Otu22	0	0	0	19	1	79	56	2	0	40	16	74	54	0	11	24	30	61	26	6	0	43	2	53	2	0	1	5	25	26	0	0	0	0	0	2	0	0	0	6	2	1	5	0	0	0	12	21	3	0	0	0	0	6	11	4	0	0	2	27	48	98	1	1578	1	34	28	13	15	50	44	11	21	0	0	0	0	3	4	7	0	6	23	10	0	47	26	43	0	30	0	2	2	0	7	3	9	7	8	0	1	0	0	36	10	5	7	13	5	3	11	14	9	9	8	16	8	6	7	7	1	1	0	12	11	12	9	15	13	3	1	1	0	2	19	9	1	6	0	0	3	37	1	1	0	1	15	4	11	6	0	0	0	3	1	0	0	0	0	22	2	3	0	1	0	0	1	3	0	16	19	19	0	0	0	3	4	3	8	2	22	0	17	27	23	1	1	2	1	5	8	27	7	1	5	63	53	7	2	68	35	51	18	2	2	26	11	9	44	2	55	48	6	0	0	18	48	13	0	1	3	0	3	62	44	54	37	5	32	34	1	4	4	1	0	3	1	20	27	15	1	2	2	4	13	7	5	1	3	0	95	19	17	1	0	4	0	5	8	13	3	2	0	32	13	1	3	29	27	26	2	69	67	5	14	31	10	0	24	15	1	59	15	36	152	112	2	106	1	4	42	21	135	358	39	32	241	338	0	0	1	1	0	0	0	1	3	1	0	0	1	3	4	1	1	0	0	0	2	1	1	0	0	5	1	0	1	0	0	0	0	8	0	0	0	1	1	4	0	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	7	7	5	1	7	4	0	2	0	0	1	0	11	9	8	7	0	10	12	2	7	18	18	0	1	5	0	4	5	8	0	7	32
Otu12	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	673	133	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	1078	925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	784	0	606	0	0	50	0	0	0	928	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	63	98	0	0	0	0	0	0	217	0	0	0	1128	0	0	0	0	0	0	0	0	0	691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	403	0	0	356	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	313	266	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu25	0	0	0	1	0	0	11	1	0	0	0	17	77	0	6	1	0	214	10	0	0	5	1	3	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	42	5	0	0	0	0	16	0	2	0	0	0	0	0	0	0	0	0	0	5	2	0	1	0	0	0	9	1	0	0	0	0	2	0	6	9	2	7	459	123	6	3	0	0	142	5	67	7	21	17	2	23	172	62	12	1	13	12	6	15	10	1	2	0	64	53	1	0	12	32	500	24	1	0	57	0	9	1	5	0	0	0	0	1	9	2	2	148	89	48	0	0	0	0	0	4	16	8	0	1	85	11	1	4	1	0	1	0	1	0	5	12	2	0	0	0	1	3	10	1	0	66	0	43	4	9	3	3	1	4	119	1	3	31	6	1	21	68	4	1	2	4	2	4	2	1	8	8	35	0	0	11	8	5	0	0	31	10	55	0	2	1	0	0	114	0	1	76	229	46	21	1	3	1	2	0	0	2	98	6	5	0	0	1	9	2	2	2	0	9	0	3	0	18	0	0	0	0	2	13	13	1	0	0	43	7	0	0	23	0	5	18	203	15	24	185	14	39	0	2	34	0	33	28	1	7	1	0	0	0	0	0	10	3	8	0	2	0	1	0	0	1	0	0	0	0	23	28	26	0	1	0	7	29	1	46	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	16	4	0	39	6	4	3	8	0	0	0	0	0	0	190	17	0	0	0	0	0	1	0	0	0	5	1	0	0	1	0	4	0	0	0	0	0	0	6	1	13	36	29	2	2	4	3	0	1	0	1	0	0	5	2	1	18	0	13	3	4	0	0	1	0	0	0	0	8	21	55	5	63	20
